num_rows;id;name;host_id;host_name;neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
0;2737;Elif's room in cozy, clean flat.;3047;Elif;VIII Appia Antica;Private room;28;7.0;7;28/05/2015;0.08;5.0;363.0;0
1;2903;Stay a night in Calisto6 B&B Rome;3280;Andrea;I Centro Storico;Private room;66;1.0;55;31/10/2017;0.35;3.0;243.0;0
2;3079;Cozy apartment  (2-4)with Colisseum  view;3504;Laura;I Centro Storico;Entire home/apt;90;5.0;19;11/09/2021;0.14;7.0;350.0;2
3;12398;Casa Donatello - Home far from Home;11756;Gea;II Parioli/Nomentano;Entire home/apt;63;1.0;43;25/08/2021;0.32;2.0;209.0;3
4;16276;B&B Calisto6 great location in Rome;3280;Andrea;I Centro Storico;Private room;66;1.0;6;18/06/2015;0.04;3.0;358.0;0
5;19967;A 5 MIN A PIEDI P.ZZA S.PIETRO  2 CAMERE SPAZIOSO;75450;Sasa;I Centro Storico;Entire home/apt;68;3.0;32;08/08/2021;0.32;10.0;252.0;1
6;20534;DormiRoma - Cedro 1 Apartment - Trastevere;77540;Sabrina;I Centro Storico;Entire home/apt;90;3.0;45;11/09/2019;0.33;5.0;278.0;0
7;20587;DormiRoma - Cedro 4 Apartment - Trastevere;77540;Sabrina;I Centro Storico;Entire home/apt;140;3.0;59;20/09/2021;0.43;5.0;269.0;1
8;20606;Your own home in St. Peter, Rome;77932;Giovanna;XIII Aurelia;Entire home/apt;146;2.0;71;20/08/2021;0.52;3.0;199.0;1
9;20699;Vintage Suite w/ Private Bath & AC;78287;Frank & Soledad;I Centro Storico;Private room;58;1.0;413;19/11/2021;3.01;8.0;348.0;23
10;21193;BLUE DOUBLE ROOM WITH TERRACE;80755;Marianna;I Centro Storico;Private room;70;2.0;14;12/11/2019;0.10;4.0;361.0;0
11;21249;B&B 830, 10 min. from everything! - ROME;81015;Emanuele;VII San Giovanni/Cinecittà;Private room;45;3.0;107;23/10/2019;0.76;10.0;252.0;0
12;21811;PRETTY FLAT IN TRASTEVERE;5232802;Coan;I Centro Storico;Entire home/apt;55;3.0;195;22/11/2021;1.40;16.0;270.0;4
13;22335;4  Apartments in Navona square (unit 1);85707;Elena;I Centro Storico;Entire home/apt;34;1.0;143;05/11/2021;2.03;4.0;324.0;32
14;22395;VERY COOL FLAT IN ST. PETER;5232802;Coan;I Centro Storico;Entire home/apt;89;3.0;32;19/11/2021;0.25;16.0;259.0;7
15;22573;Splendido loft con pezzi di design nel cuore del Pigneto;86882;Francesco;V Prenestino/Centocelle;Entire home/apt;70;28.0;101;20/01/2021;0.72;1.0;1.0;1
16;22930;DormiRoma - Cedro 3 Apartment - Trastevere;77540;Sabrina;I Centro Storico;Entire home/apt;95;3.0;64;18/02/2020;0.46;5.0;296.0;0
17;23803;Charming flat in Trastevere;5232802;Coan;I Centro Storico;Entire home/apt;79;3.0;235;07/11/2021;1.77;16.0;272.0;11
18;24557;Mini apartment with garden & wifi;86053;Els;XIV Monte Mario;Entire home/apt;73;2.0;326;01/11/2021;2.30;1.0;361.0;2
