id;name;host_id;zone_id;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;availability_365;number_of_reviews_ltm
2737;Elif's room in cozy, clean flat.;3047;6;Private room;28;7.0;7;28/05/2015;0.08;363.0;0
2903;Stay a night in Calisto6 B&B Rome;3280;1;Private room;66;1.0;55;31/10/2017;0.35;243.0;0
3079;Cozy apartment  (2-4)with Colisseum  view;3504;1;Entire home/apt;90;5.0;19;11/09/2021;0.14;350.0;2
12398;Casa Donatello - Home far from Home;11756;3;Entire home/apt;63;1.0;43;25/08/2021;0.32;209.0;3
16276;B&B Calisto6 great location in Rome;3280;1;Private room;66;1.0;6;18/06/2015;0.04;358.0;0
19967;A 5 MIN A PIEDI P.ZZA S.PIETRO  2 CAMERE SPAZIOSO;75450;1;Entire home/apt;68;3.0;32;08/08/2021;0.32;252.0;1
20534;DormiRoma - Cedro 1 Apartment - Trastevere;77540;1;Entire home/apt;90;3.0;45;11/09/2019;0.33;278.0;0
20587;DormiRoma - Cedro 4 Apartment - Trastevere;77540;1;Entire home/apt;140;3.0;59;20/09/2021;0.43;269.0;1
20606;Your own home in St. Peter, Rome;77932;11;Entire home/apt;146;2.0;71;20/08/2021;0.52;199.0;1
20699;Vintage Suite w/ Private Bath & AC;78287;1;Private room;58;1.0;413;19/11/2021;3.01;348.0;23
21193;BLUE DOUBLE ROOM WITH TERRACE;80755;1;Private room;70;2.0;14;12/11/2019;0.1;361.0;0
21249;B&B 830, 10 min. from everything! - ROME;81015;7;Private room;45;3.0;107;23/10/2019;0.76;252.0;0
21811;PRETTY FLAT IN TRASTEVERE;5232802;1;Entire home/apt;55;3.0;195;22/11/2021;1.4;270.0;4
22335;4  Apartments in Navona square (unit 1);85707;1;Entire home/apt;34;1.0;143;05/11/2021;2.03;324.0;32
22395;VERY COOL FLAT IN ST. PETER;5232802;1;Entire home/apt;89;3.0;32;19/11/2021;0.25;259.0;7
22573;Splendido loft con pezzi di design nel cuore del Pigneto;86882;9;Entire home/apt;70;28.0;101;20/01/2021;0.72;1.0;1
22930;DormiRoma - Cedro 3 Apartment - Trastevere;77540;1;Entire home/apt;95;3.0;64;18/02/2020;0.46;296.0;0
23803;Charming flat in Trastevere;5232802;1;Entire home/apt;79;3.0;235;07/11/2021;1.77;272.0;11
24557;Mini apartment with garden & wifi;86053;13;Entire home/apt;73;2.0;326;01/11/2021;2.3;361.0;2
25875;Your holiday next to St. Peter;77932;11;Entire home/apt;529;4.0;34;02/01/2019;0.25;0.0;0
26957;Calisto6 B&B in the heart of Rome;3280;1;Private room;66;1.0;15;17/10/2021;0.11;360.0;3
27816;*Rome CAMPO de FIORI Lovely Romantic Studio*;119186;1;Entire home/apt;68;2.0;135;08/01/2020;1.04;7.0;0
29606;YOUR HOME in ROME, 2 steps from TRASTEVERE;127506;12;Entire home/apt;81;3.0;143;23/08/2021;1.1;361.0;5
29902;Villa Lauretana for families/friend;128832;5;Entire home/apt;90;4.0;12;12/08/2021;0.14;283.0;1
30887;Monti small flat nearby Colosseum private bathroom;132622;1;Entire home/apt;72;3.0;51;01/11/2021;0.64;365.0;1
31058;WellnessInnRome Shortlet 2 people;133372;1;Private room;52;2.0;70;09/10/2021;0.51;208.0;5
31430;IRIS - 12 MIN TO COLOSSEO BY METRO;135012;3;Private room;40;2.0;369;28/02/2020;2.67;0.0;0
31464;Warm Apartment with a Hi-Fi Stereo and Quaint Balcony;135112;4;Private room;106;2.0;391;21/02/2020;2.94;6.0;0
36223;da nonna maria b&b near center;155546;3;Private room;45;2.0;36;03/10/2021;0.27;361.0;1
37054;Anna Home at Roman Forum;160020;1;Entire home/apt;65;2.0;514;06/12/2021;3.76;259.0;21
37305;Casa Pariolina - Suite The Romantic;161114;3;Private room;94;1.0;21;06/11/2021;0.24;358.0;1
37307;Casa Pariolina-Suite Villa Borghese;161114;3;Entire home/apt;90;1.0;32;16/11/2021;0.23;351.0;7
