host_id,host_name,listings_count,listing_id
3047,Elif,5.0,2737
3280,Andrea,3.0,2903
3504,Laura,7.0,3079
11756,Gea,2.0,12398
3280,Andrea,3.0,16276
75450,Sasa,10.0,19967
77540,Sabrina,5.0,20534
77540,Sabrina,5.0,20587
77932,Giovanna,3.0,20606
78287,Frank & Soledad,8.0,20699
80755,Marianna,4.0,21193
81015,Emanuele,10.0,21249
5232802,Coan,16.0,21811
85707,Elena,4.0,22335
5232802,Coan,16.0,22395
86882,Francesco,1.0,22573
77540,Sabrina,5.0,22930
5232802,Coan,16.0,23803
86053,Els,1.0,24557
77932,Giovanna,3.0,25875
3280,Andrea,3.0,26957
119186,Primarosa M.Rita,3.0,27816
127506,Pino,1.0,29606
128832,Loredana,1.0,29902
132622,Mirela & Marco,3.0,30887
133372,Emanuela,5.0,31058
135012,Angiola,3.0,31430
135112,Mario,1.0,31464
155546,Micaela,2.0,36223
160020,Lorenzo,8.0,37054
161114,Carla,3.0,37305
161114,Carla,3.0,37307
119186,Primarosa M.Rita,3.0,42829
192075,Rita,1.0,43912
195040,Hanen,3.0,44442
205102,Antonio,2.0,46669
212374,Simona,2.0,47149
205102,Antonio,2.0,47213
147227,Irene,1.0,48807
212374,Simona,2.0,49206
224479,Ermanno,3.0,49240
230736,Sita Alessandra,3.0,50333
231096,Laura,2.0,50385
231637,Lavinia,1.0,50471
242549,Laura,1.0,52465
244775,Francesco,2.0,52805
247495,Gabriele,1.0,53203
248295,Tom,11.0,53322
248295,Tom,11.0,53325
3504,Laura,7.0,53670
3504,Laura,7.0,53844
259007,Tiziana,1.0,54991
263254,Andrea E Carlotta,4.0,55710
133372,Emanuela,5.0,55834
269706,Matilde,3.0,56795
269706,Matilde,3.0,56801
275779,Mauro,1.0,57793
276063,Guglielmo,21.0,57982
277019,Lis Mari,1.0,57996
276894,Francesco,10.0,58137
276894,Francesco,10.0,58273
276894,Francesco,10.0,58343
133372,Emanuela,5.0,59749
290437,Guido,1.0,60300
307669,Arabella,1.0,63092
316068,Federico,42.0,64683
318301,Andrea,3.0,65104
321012,Massimo,1.0,65658
339461,Enrica,2.0,68449
339461,Enrica,2.0,68450
3504,Laura,7.0,68731
345563,Giandomenico,1.0,69146
353186,Sole E Luna,4.0,70006
355604,Alessandro & Silvia,3.0,70477
358775,Antonino,2.0,70621
364763,Annabella,1.0,71341
276063,Guglielmo,21.0,72073
353186,Sole E Luna,4.0,72848
400717,Marina,1.0,75474
409283,Denise,1.0,77549
417964,Nathalie,1.0,77831
382155,Michele,11.0,78314
422925,Floriana,1.0,78697
427418,Alessandra,1.0,79393
316068,Federico,42.0,80280
316068,Federico,42.0,80292
435920,Pina,3.0,80612
444360,Mary,1.0,81807
455761,Gianmaria,1.0,83569
464811,Luca,4.0,84953
149694,B&B Zen Trastevere,2.0,85272
149694,B&B Zen Trastevere,2.0,85612
470889,Federica,6.0,85857
263254,Andrea E Carlotta,4.0,86187
475065,Renato,3.0,86649
476671,Angelo,6.0,86932
476671,Angelo,6.0,86942
380607,Laura,2.0,88428
484081,Stefania,1.0,88611
485491,Irina,1.0,88982
491169,WikiRome,1.0,90666
486866,Raffaella,4.0,90971
492474,Filippo,2.0,91029
229246,Gigi,1.0,91713
248295,Tom,11.0,93976
503401,Armando,1.0,94106
506316,Andrea,4.0,95009
508116,Emanuele Mercuzio,3.0,95415
508291,Michele,1.0,95463
511552,Fiammetta Maria,1.0,96351
77932,Giovanna,3.0,97093
533391,Giulia,1.0,102350
536398,Antonella,3.0,102672
537257,Alessandro Lorenzo Katia,3.0,103190
538724,Carla,1.0,103245
535822,Fabrizio,1.0,103870
543054,Giuseppe,3.0,104339
1033076,Rca Immobiliare,6.0,105081
557098,Flora,3.0,107569
559233,Franco,1.0,108035
355604,Alessandro & Silvia,3.0,108039
82468112,Livia,3.0,110515
477332,Cristina,1.0,111424
577650,Antonella,1.0,113590
158699136,Flavio & Emiliano,10.0,116616
82468112,Livia,3.0,117532
595949,Angela,2.0,117982
599863,Viviana,1.0,118803
619502,Barbara,1.0,124148
619855,Ilaria,1.0,124269
316068,Federico,42.0,125484
624253,Giusy,1.0,125597
645702,Cristina,1.0,131221
662417,Fantini,1.0,135051
663406,Marzia,1.0,135307
670337,Massimiliano,1.0,137044
486866,Raffaella,4.0,137157
246365,Carla,2.0,137713
246365,Carla,2.0,137724
674843,Daniele,5.0,138192
675201,Rosa Alba,3.0,138279
679555,Mario,1.0,139330
682426,Simona,1.0,140023
685600,Juan Carlos,1.0,140801
674843,Daniele,5.0,141614
